cleaned_med_id,inv_min,inv_max,mean_first_count,mean_last_count,total_picks,mean_picks,median_picks,variance_picks,std_dev_picks,range_picks,iqr_picks,skewness_picks,kurtosis_picks,percent_days_w_pick,days_of_data,days_w_stockout,days_w_scarce_inv,days_w_excess_inv,mean_inventory,inv_turnover_ratio,days_sales_inventory,stockout_rate,excess_rate,scarce_rate,coef_var
73052,10.0,40.0,30.360874848116648,30.382746051032807,372.0,0.4520048602673147,0.0,0.7102849050858381,0.8427840204262526,8.0,1.0,2.8718707151762324,13.379796984690039,0.30741190765492105,823.0,5.0,18.0,140.0,30.371810449574728,12.248199711953912,67.19354838709678,0.006075334143377886,0.1701093560145808,0.02187120291616039,1.8645463677709835
75312,12.0,72.0,95.38970588235294,95.3125,674.0,0.8259803921568627,0.0,7.704649344400335,2.7757250123887154,40.0,0.0,6.265405821954546,60.01156034776151,0.15808823529411764,816.0,12.0,19.0,546.0,95.35110294117646,7.0686125195195775,115.43991097922849,0.014705882352941176,0.6691176470588235,0.023284313725490197,3.3605216767198693
75514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,737.0,737.0,0.0,0.0,0.0,,,1.0,0.0,0.0,
76305,5.0,33.0,19.778588807785887,19.771289537712896,329.0,0.4002433090024331,0.0,1.628891536343726,1.2762803517815848,29.0,1.0,14.757401430377477,310.18023845146547,0.26277372262773724,822.0,2.0,18.0,73.0,19.77493917274939,16.63721931713319,49.40729483282674,0.0024330900243309003,0.08880778588807786,0.021897810218978103,3.1887612436609807
77637,9.0,37.0,33.54114713216958,33.581047381546135,960.0,1.1970074812967582,0.0,4.245783792703011,2.06052997859847,12.0,3.0,1.8534126638844228,3.4874777728270896,0.3054862842892768,802.0,3.0,29.0,156.0,33.561097256857856,28.604547481052162,28.037499999999998,0.003740648379052369,0.19451371571072318,0.03615960099750624,1.7214010862874718
78887,0.0,60.0,23.141291108404385,23.104750304506698,38.0,0.04628501827040195,0.0,1.0393184991533222,1.0194697146817664,29.0,0.0,27.97586915114619,791.4304502863353,0.0097442143727162,821.0,318.0,0.0,21.0,23.12302070645554,1.6433839022334598,499.57894736842104,0.3873325213154689,0.025578562728380026,0.0,22.02591146720343
81260,0.0,0.0,54.380710659898476,54.82994923857868,14.0,0.03553299492385787,0.0,0.09542630552434095,0.30891148493434323,5.0,0.0,12.2715193177668,176.71944334437765,0.02030456852791878,394.0,80.0,0.0,314.0,54.60532994923858,0.25638522856678053,1536.75,0.20304568527918782,0.7969543147208121,0.0,8.693651790295087
000015,30.595382746051033,68.83961117861482,62.83232077764277,62.77521263669502,1846.0,2.2430133657351154,0.0,18.1866147528625,4.264576737832549,30.0,3.0,2.93444393617225,10.765631325666064,0.41190765492102066,823.0,1.0,172.0,359.0,62.80376670716889,29.39314147521161,27.99972914409534,0.001215066828675577,0.4362089914945322,0.20899149453219928,1.9012712108538394
000017,2.0,4.0,3.4374240583232076,3.4362089914945324,88.0,0.10692588092345079,0.0,0.16616851883057945,0.407637729890867,5.0,0.0,5.304617580085493,38.7422042710362,0.08262454434993925,823.0,9.0,40.0,81.0,3.43681652490887,25.605091037652464,32.14204545454545,0.010935601458080195,0.09842041312272175,0.04860267314702309,3.812339223865722
000018,404.1676792223572,1424.726609963548,1406.7278250303766,1405.5601458080193,21832.0,26.5273390036452,13.0,7631.208193275446,87.35678676139277,1028.0,14.0,9.387990807042657,95.47324475045173,0.9866342648845686,823.0,0.0,20.0,296.0,1406.143985419198,15.526148265315424,53.00735159399048,0.0,0.3596597812879708,0.024301336573511544,3.293085173352247
